food_name,Calories,protein_g,fat_g,carbs_g
"Infant formula, ready-to-feed (Similac Expert Care Alimentum)",66.95,1.8,3.63,6.77
"Infant formula, powder, made with water, NFS (Similac Expert Care Alimentum)",66.95,1.8,3.63,6.77
"Infant formula, powder, made with tap water (Similac Expert Care Alimentum)",66.95,1.8,3.63,6.77
"Infant formula, powder, made with plain bottled water (Similac Expert Care Alimentum)",66.95,1.8,3.63,6.77
"Infant formula, powder, made with baby water (Similac Expert Care Alimentum)",66.95,1.8,3.63,6.77
"Infant formula, NS as to form (Similac Advance)",65.53999999999999,1.37,3.62,6.87
"Infant formula, ready-to-feed (Similac Advance)",65.53999999999999,1.37,3.62,6.87
"Infant formula, liquid concentrate, made with water, NFS (Similac Advance)",65.53999999999999,1.37,3.62,6.87
"Infant formula, powder, made with water, NFS (Similac Advance)",65.53999999999999,1.37,3.62,6.87
"Infant formula, liquid concentrate, made with tap water (Similac Advance)",65.53999999999999,1.37,3.62,6.87
"Infant formula, liquid concentrate, made with plain bottled water (Similac Advance)",65.53999999999999,1.37,3.62,6.87
"Infant formula, liquid concentrate, made with baby water (Similac Advance)",65.53999999999999,1.37,3.62,6.87
"Infant formula, powder, made with tap water (Similac Advance)",65.53999999999999,1.37,3.62,6.87
"Infant formula, powder, made with plain bottled water (Similac Advance)",65.53999999999999,1.37,3.62,6.87
"Infant formula, powder, made with baby water (Similac Advance)",65.53999999999999,1.37,3.62,6.87
"Infant formula, NS as to form (Similac Advance Organic)",65.53999999999999,1.37,3.62,6.87
"Infant formula, ready-to-feed (Similac Advance Organic)",65.53999999999999,1.37,3.62,6.87
"Infant formula, powder, made with water, NFS (Similac Advance Organic)",65.53999999999999,1.37,3.62,6.87
"Infant formula, powder, made with tap water (Similac Advance Organic)",65.53999999999999,1.37,3.62,6.87
"Infant formula, powder, made with plain bottled water (Similac Advance Organic)",65.53999999999999,1.37,3.62,6.87
"Infant formula, powder, made with baby water (Similac Advance Organic)",65.53999999999999,1.37,3.62,6.87
